evergreen huckleberry,latitude,longitude
1,47.3108485502,-122.5332412452
1,47.3130654219,-122.532531798
1,47.3156993047,-122.5341835575
1,47.3162739492,-122.5357050859
1,47.3156303418,-122.5367954374
1,47.3157468885,-122.5368937004
1,47.3155737105,-122.5381482723
1,47.3174931513,-122.5410682957
1,47.3171502075,-122.5407087438
1,47.3035462852,-122.5190999172
1,47.3035550959,-122.5190467616
1,47.3106195911,-122.5338865466
1,47.3108732358,-122.5338475411
1,47.3120015171,-122.5363092272
1,47.3118836308,-122.5359266443
1,47.3129197473,-122.5379285307
1,47.3129506529,-122.5384256087
1,47.3131220653,-122.5390600782
1,47.3133666083,-122.5394570582
1,47.3138010831,-122.5399228549
1,47.3140934383,-122.5401919042
1,47.3142411625,-122.5407512136
1,47.3146214124,-122.5414732829
1,47.3145305436,-122.5415806199
1,47.3149188633,-122.5423629417
1,47.3097539482,-122.5336515403
1,47.3098306922,-122.5336177873
1,47.3097812279,-122.5336934049
1,47.3098820337,-122.5365781353
1,47.3093882119,-122.5371047006
1,47.309546876,-122.5364358363
1,47.3097213732,-122.5366103009
1,47.309451539,-122.5365009608
1,47.3093530967,-122.5341865354
1,47.3095410954,-122.5340167599
1,47.3082295777,-122.5347022675
1,47.3093720831,-122.5339284463
1,47.3076245876,-122.5358212594
1,47.3116088116,-122.5364206892
1,47.3119776246,-122.5367047159
1,47.3121504967,-122.5373088992
1,47.3121500316,-122.5376991892
1,47.3121086112,-122.5383012183
1,47.3125432593,-122.5383422829
1,47.3120841312,-122.5384859777
1,47.3121490035,-122.5385990181
1,47.3119816128,-122.5387595253
1,47.3120694699,-122.5379035659
1,47.3121826751,-122.5383005305
1,47.3126761031,-122.5382765219
1,47.3117977791,-122.5388128066
1,47.3152120288,-122.5430292142
1,47.3152368513,-122.5430412594
1,47.3103695117,-122.5338764233
1,47.3103174831,-122.5338164147
1,47.3104332484,-122.5337429319
1,47.3104695411,-122.5339744403
1,47.3157375549,-122.5435591102
1,47.3159368576,-122.5439731862
1,47.3159897917,-122.5445097281
1,47.315736468,-122.5440112873
1,47.3161453565,-122.5447193201
1,47.3101315232,-122.5375374662
1,47.3099887823,-122.5378009859
1,47.3103271142,-122.5375634802
1,47.3100894364,-122.5371659362
1,47.3140609926,-122.5385761307
1,47.3102381231,-122.5375514882
1,47.31411976,-122.5389503629
1,47.3141146476,-122.5386799611
1,47.3144964085,-122.5389830687
1,47.3149135983,-122.5383135211
1,47.315462492,-122.5380181994
1,47.3148101742,-122.5384049485
1,47.3150742033,-122.5388606614
1,47.3147066526,-122.5389190948
1,47.314678338,-122.5389930868
1,47.3150636737,-122.5390489509
1,47.3171760566,-122.5441550161
1,47.3170460511,-122.5438393207
1,47.3165459421,-122.5439413967
1,47.3114083032,-122.5334054364
1,47.3130901567,-122.5333524137
1,47.3166150332,-122.5353839389
1,47.3042174347,-122.5337922298
1,47.3052777015,-122.5345837993
1,47.3056148749,-122.5344370292
1,47.305464891,-122.5343378098
1,47.3059682847,-122.5351826599
1,47.3059610628,-122.5351232679
1,47.3100786722,-122.5389468478
1,47.311025942,-122.5390561235
1,47.3100354212,-122.5389633385
1,47.3108571735,-122.5390909499
1,47.3114393678,-122.5402259652
1,47.3109113748,-122.5392674044
1,47.3115006355,-122.5404135235
1,47.3116798868,-122.5400371866
1,47.3114789211,-122.5402687453
1,47.3116583331,-122.5397518004
1,47.3119713789,-122.5409601497
1,47.3133181439,-122.5434868696
1,47.3138010634,-122.5430971017
1,47.3141705367,-122.5435732712
1,47.314085059600004,-122.5435143663
1,47.314119645,-122.543626682
1,47.3150348772,-122.543933211
1,47.3152665997,-122.544939222
1,47.3153556124,-122.5449930216
1,47.317338421,-122.5460657806
1,47.3179183854,-122.5452127309
1,47.3179483251,-122.5450195112
1,47.3172535258,-122.5363637164
1,47.3172952165,-122.5369077147
1,47.3173220268,-122.537713447
1,47.3166054234,-122.5377248219
1,47.3162089324,-122.5381760647
1,47.3171185842,-122.5376836025
1,47.3173208907,-122.5376299951
1,47.3171561696,-122.5405831769
1,47.3178663655,-122.540027062
1,47.3160987993,-122.5393479358
1,47.3179112814,-122.5414398676
1,47.3068052205,-122.5338454518
1,47.3070613187,-122.5346481291
1,47.3070644495,-122.5347948634
1,47.318283557,-122.5433562046
1,47.3179194844,-122.5443720891
1,47.3179755163,-122.5443491911
1,47.3178926079,-122.5443568436
1,47.316049852,-122.5441059515
1,47.3161247872,-122.5436227547
1,47.3161579868,-122.5441456567
1,47.3165756139,-122.5438423132
1,47.317980745,-122.5443433045
1,47.316253259,-122.5435495668
1,47.3078033204,-122.5361981008
