holly,latitude,longitude
1,47.3035885672,-122.5240665706
1,47.3033330531,-122.5242866114
1,47.3042706871,-122.5246790283
1,47.3084362291,-122.5321976976
1,47.3029008916,-122.519013757
1,47.3028686353,-122.5190954967
1,47.3030083006,-122.5191344347
1,47.3075427903,-122.5353635081
1,47.3073271524,-122.5352548363
1,47.3143815216,-122.5389236101
1,47.317453793,-122.5430526986
1,47.3173772271,-122.54305576
1,47.3056148749,-122.5344370292
1,47.3107650723,-122.5392873317
1,47.3107697797,-122.5392401811
1,47.3120808698,-122.5406113725
1,47.3138010634,-122.5430971017
1,47.3178273254,-122.5452938037
1,47.3181587503,-122.5433878981
1,47.3178704822,-122.5441966445
1,47.317980745,-122.5443433045
